job_id,title,company,location,country,category,salary_min,salary_max,salary_is_predicted,contract_time,created,description,skills,num_skills,avg_salary
5832939686,Data Analyst (SC Cleared),Sanderson Government and Defence,"South East London, London",United Kingdom,IT Jobs,145600.0,148200.0,False,Unknown,2026-08-08 05:13:05+00:00,"Data Analyst (SC Cleared) Rate: £570 per day (Inside IR35) Location: Hybrid - London (2-3 days per week in the office) Contract Length: 6 months Clearance Required: Active SC Clearance (essential) The Opportunity We are seeking an experienced Data Analyst with live SC clearance to join a high-profile programme on an initial 6-month contract. This is an excellent opportunity to work within a collaborative delivery team, providing data analysis expertise and acting as the bridge between business …",[],0,146900.0
5817550729,Senior Commercial Data Analyst,Pavilion Recruitment Solutions,"Surrey, South East England",United Kingdom,Accounting & Finance Jobs,40000.0,45000.0,False,full_time,2026-07-27 18:19:11+00:00,"Are you a commercially minded analyst who enjoys turning complex data into strategic insight? We're recruiting for a Senior Commercial Data Analyst to join a growing commercial function where you'll play a key role in developing pricing models, evaluating investment opportunities, and helping shape commercial decision-making. This is an excellent opportunity for someone with strong financial modelling and commercial analysis experience who enjoys solving complex problems and influencing busines…",[],0,42500.0
5831512576,Data Analyst Placement Programme No Experience Needed,IT Online Learning,"Glasgow, Scotland",United Kingdom,IT Jobs,65000.0,65000.0,False,Unknown,2026-08-07 05:10:33+00:00,"Data Analyst Placement Programme no experience needed From £30,000 to £65,000 per annum Trainee Data Analyst £30,000£65,000 Job Programme This is a self-funded programme that leads to employment, fees apply. Job Guarantee Complete the programme and get a job, or get your course fees back. Location: UK Wide (Remote Opportunities Available) Looking to start a career in Data Analysis? We are offering a structured pathway into Data Analysis, designed to help you enter the industry with no prior exp…",[],0,65000.0
5831512579,Data Analyst Placement Programme No Experience Needed,IT Online Learning,"Liverpool, Merseyside",United Kingdom,IT Jobs,65000.0,65000.0,False,Unknown,2026-08-07 05:10:33+00:00,"Data Analyst Placement Programme no experience needed From £30,000 to £65,000 per annum Trainee Data Analyst £30,000£65,000 Job Programme This is a self-funded programme that leads to employment, fees apply. Job Guarantee Complete the programme and get a job, or get your course fees back. Location: UK Wide (Remote Opportunities Available) Looking to start a career in Data Analysis? We are offering a structured pathway into Data Analysis, designed to help you enter the industry with no prior exp…",[],0,65000.0
5832939237,Data Analyst Placement Programme No Experience Needed,IT Online Learning,"Leeds, West Yorkshire",United Kingdom,IT Jobs,65000.0,65000.0,False,Unknown,2026-08-08 05:12:18+00:00,"Data Analyst Placement Programme no experience needed From £30,000 to £65,000 per annum Trainee Data Analyst £30,000£65,000 Job Programme This is a self-funded programme that leads to employment, fees apply. Job Guarantee Complete the programme and get a job, or get your course fees back. Location: UK Wide (Remote Opportunities Available) Looking to start a career in Data Analysis? We are offering a structured pathway into Data Analysis, designed to help you enter the industry with no prior exp…",[],0,65000.0
5831512580,Data Analyst Placement Programme No Experience Needed,IT Online Learning,"Cardiff County, Wales",United Kingdom,IT Jobs,65000.0,65000.0,False,Unknown,2026-08-07 05:10:33+00:00,"Data Analyst Placement Programme no experience needed From £30,000 to £65,000 per annum Trainee Data Analyst £30,000£65,000 Job Programme This is a self-funded programme that leads to employment, fees apply. Job Guarantee Complete the programme and get a job, or get your course fees back. Location: UK Wide (Remote Opportunities Available) Looking to start a career in Data Analysis? We are offering a structured pathway into Data Analysis, designed to help you enter the industry with no prior exp…",[],0,65000.0
5831512577,Data Analyst Placement Programme No Experience Needed,IT Online Learning,"Edinburgh, Scotland",United Kingdom,IT Jobs,65000.0,65000.0,False,Unknown,2026-08-07 05:10:33+00:00,"Data Analyst Placement Programme no experience needed From £30,000 to £65,000 per annum Trainee Data Analyst £30,000£65,000 Job Programme This is a self-funded programme that leads to employment, fees apply. Job Guarantee Complete the programme and get a job, or get your course fees back. Location: UK Wide (Remote Opportunities Available) Looking to start a career in Data Analysis? We are offering a structured pathway into Data Analysis, designed to help you enter the industry with no prior exp…",[],0,65000.0
5830780047,Landfill Gas Compliance Data Analyst,FCC Environment,"Lincoln, Lincolnshire",United Kingdom,Admin Jobs,40000.0,40000.0,False,full_time,2026-08-06 17:20:13+00:00,"Are you looking for the right role for you? Then look no further Landfill Gas Compliance Data Analyst Salary £32,454 - £40,568 (CAS or Car Allowance) Hours 37.5 hours per week Location Hybrid, with travel to FCC landfill sites as required As a Landfill Gas Compliance Data Analyst at FCC Environment, you will play a key role in supporting landfill gas compliance across our portfolio of landfill sites. Reporting to the Lead Environmental Compliance Data Manager, you will provide technical guidanc…",[],0,40000.0
5760045095,Lead Data Analyst - Pricing,Wise,"London, UK",United Kingdom,Accounting & Finance Jobs,63048.26,63048.26,True,full_time,2026-06-11 16:17:34+00:00,"Wise is a global technology company, building the best way to move and manage the world’s money. Min fees. Max ease. Full speed. Whether people and businesses are sending money to another country, spending abroad, or making and receiving international payments, Wise is on a mission to make their lives easier and save them money. As part of our team, you will be helping us create an entirely new network for the worlds money. For everyone, everywhere. Job Description We are looking for a Lead Dat…",[],0,63048.26
5760045039,"Staff Data Analyst, Operations",Wise,"London, UK",United Kingdom,IT Jobs,88466.81,88466.81,True,full_time,2026-06-11 16:17:09+00:00,"Wise is a global technology company, building the best way to move and manage the world’s money. Min fees. Max ease. Full speed. Whether people and businesses are sending money to another country, spending abroad, or making and receiving international payments, Wise is on a mission to make their lives easier and save them money. As part of our team, you will be helping us create an entirely new network for the worlds money. For everyone, everywhere. Job Description At Wise, our Staff Analyst is…",[],0,88466.81
